Key,Dialogue,Context
Prefix_0,"D’ Platoon, this is TOC with FISA on oversight...",
Prefix_1,"Entry Team, TOC here alongside oversight...",
Prefix_2,TOC and FISA to all elements...,
Prefix_3,This is TOC under FISA jurisdiction...,
Prefix_4,"Command to D-Platoon, oversight feed is live...",
Prefix_5,"D-Platoon, this is TOC. Federal observers standing by for your go-ahead...",
Prefix_6,"This is TOC, with FISA on overwatch...",
Prefix_7,"Entry Team, TOC reporting active link...",
Prefix_8,TOC to Entry Team with FISA command..,
Prefix_9,This is TOC. Federal chain established...,
Prefix_10,"Command to D-Platoon, oversight confirms control...",
,,
AcknowledgeGeneric_0,"Roger that, Entry Team. FISA acknowledges report.",
AcknowledgeGeneric_1,Acknowledged. Oversight tracking your report.,
AcknowledgeGeneric_2,"Copy input. Roger that, Entry Team. Proceed with directive.",
AcknowledgeGeneric_3,Confirmed. Keep aligned with command.,
AcknowledgeGeneric_4,Acknowledged. Record updated in oversight logs.,
AcknowledgeGeneric_5,"Roger, D-Platoon, you are clear to proceed,.",
AcknowledgeGeneric_6,Confirmed. Oversight approves.,
AcknowledgeGeneric_7,Acknowledged. Comms are stable on all sides.,
AcknowledgeGeneric_8,"Copy, D-Platoon. Oversight noting your precision.",
AcknowledgeGeneric_9,"Roger that, D-Platoon. Maintain operational discipline.",
AcknowledgeGeneric_10,Acknowledged. Oversight expects efficiency.,
AcknowledgeGeneric_11,"Copy that, Entry Team, hold your course.",
AcknowledgeGeneric_12,Confirmed. Oversight reviewing as you move.,
AcknowledgeGeneric_13,Acknowledged. Maintain awareness.,
AcknowledgeGeneric_14,Copy. Procedural adherence logged.,
AcknowledgeGeneric_15,Confirmed. Oversight satisfied with pace.,
AcknowledgeGeneric_16,Acknowledged. Proceed under directive.,
AcknowledgeGeneric_17,Copy that. No deviation noted.,
AcknowledgeGeneric_18,Confirmed. FISA oversight reminds to continue to employ restraint.,
AcknowledgeGeneric_19,Acknowledged. Oversight observing discipline.,
AcknowledgeGeneric_20,"Copy that, Entry Team. Will pass on report to FISA.",
,,
StartGeneric_0,"D-Platoon, you are greenlit for entry. Federal oversight is active. Establish control of the scene immediately.",
StartGeneric_1,Suspects confirmed inside. Proceed under FISA’s operational control with full situational awareness.,
StartGeneric_2,"Civilians may still be present. Secure them first, then push for objectives. Suspects may be barricaded inside.",
StartGeneric_3,"Operational tempo is at your discretion. Confirm rooms methodically, avoid collateral damage.",
StartGeneric_4,Intel indicates improvised devices on-site. Exercise caution and maintain communications discipline.,
StartGeneric_5,FISA directs you to prioritise intelligence capture alongside suspect containment.,
StartGeneric_6,All reports will be reviewed in real-time. FISA oversight expects you to follow your ROE.,
StartGeneric_7,Secondary teams standing by for extraction. Maintain perimeter integrity until relieved.,
StartGeneric_8,Authority delegated to your team. Exercise judgement within the established operational parameters.,
StartGeneric_9,"Be aware of potential reinforcements of hostile cells. Adapt and neutralise without delay, secure the area.",
StartGeneric_10,Mission parameters uploaded. Execute swiftly in order to prevent further escalation.,
,,
ArrestCivilian_0,Detainment confirmed. Maintain chain of custody for review.,
ArrestCivilian_1,Detainment logged. You are free to continue.,
ArrestCivilian_2,Restraint applied. Maintain operational tempo.,
ArrestCivilian_3,Civil report filed for detainment. Oversight reviewing.,
ArrestCivilian_4,Arrest complete. Standby for confirmation.,
ArrestCivilian_5,Restraint successful. Oversight tracking all custody points.,
ArrestCivilian_6,Restraint verified. Maintain ROE integrity.,
ArrestCivilian_7,Detainment completed. Oversight confirms lawful arrest.,
ArrestCivilian_8,Subject restrained. Oversight requests status update.,
ArrestCivilian_9,Arrest completed. Maintain order in the area.,
ArrestCivilian_10,Subject detained. Oversight acknowledges restraint.,
ArrestCivilian_11,Restraint verified. Standby for forensic sweep.,
ArrestCivilian_12,Detainment successful. FISA logging full report.,
ArrestCivilian_13,Restraint complete. Oversight advises relocation.,
ArrestCivilian_14,Arrest concluded. Maintain readiness for further contact.,
ArrestCivilian_15,Restraint confirmed. Maintain situational control.,
ArrestCivilian_16,"Subject is restrained. Great work, Entry Team, oversight confirms non-lethal application.",
ArrestCivilian_17,Roger that, Entry Team. Confirm visual for transfer.,
ArrestCivilian_18,Subject detained. Oversight commends your precision.,
ArrestCivilian_19,ROE applied successfully. Oversight satisfied.,
ArrestCivilian_20,Subject restrained. Oversight requests status verification.,
ArrestCivilian_21,"Detainment successful, nice work, Entry Team. FISA oversight closing file.",
ArrestCivilian_22,Restraint verified. Maintain field readiness.,
ArrestCivilian_23,Detainment logged. Proceed to next checkpoint.,
ArrestCivilian_24,Subject restrained and compliant. We'll await confirmation fromn FISA command.,
ArrestCivilian_25,"Restraint confirmed, nice work. FISA notes proper conduct.",
ArrestCivilian_26,Detainment verified. Maintain area integrity.,
,,
ArrestSuspect_0,Suspect secured. FISA oversight notes compliance.,
ArrestSuspect_1,Detainment confirmed. Maintain chain of custody for review.,
ArrestSuspect_2,Suspect restrained without incident. Oversight approves.,
ArrestSuspect_3,Detainment logged. You are free to continue.,
ArrestSuspect_4,Arrest complete. Evidence tags required.,
