Key,Dialogue,Context
Prefix_0,"It's Cave, Prime. From Earth One...",
Prefix_1,Cave Johnson here...,
Prefix_2,"Hey, It's Cave...",
Prefix_3,"Cave here, Chariots...",
Prefix_4,It's Cave...,
Prefix_5,"Cave again...,
Prefix_6,"Woah, Chariots Chariots...",
Prefix_7,(Heavenly Noises) Cave Johnson here...,
,,
AcknowledgeGeneric_0,Copy that.,
AcknowledgeGeneric_1,Roger.,
AcknowledgeGeneric_2,10-4.,
AcknowledgeGeneric_3,Roger that.,
AcknowledgeGeneric_4,Copy.,
AcknowledgeGeneric_5,"Copy that, entry team.",
AcknowledgeGeneric_6,"Roger, entry team.",
AcknowledgeGeneric_7,"10-4, entry team.",
AcknowledgeGeneric_8,"Roger that, entry team.",
AcknowledgeGeneric_9,"Copy, entry team.",
AcknowledgeGeneric_10,TOC copies all.,
AcknowledgeGeneric_11,Acknowledged.,
AcknowledgeGeneric_12,Copy that.,
AcknowledgeGeneric_13,Roger.,
AcknowledgeGeneric_14,10-4.,
AcknowledgeGeneric_15,Roger that.,
AcknowledgeGeneric_16,Copy.,
AcknowledgeGeneric_17,"Copy that, entry team.",
AcknowledgeGeneric_18,"Roger, entry team.",
AcknowledgeGeneric_19,"10-4, entry team.",
AcknowledgeGeneric_20,"Roger that, entry team.",
AcknowledgeGeneric_21,"Copy, entry team.",
AcknowledgeGeneric_22,TOC copies all.,
AcknowledgeGeneric_23,Acknowledged.,
,,
StartGeneric_0,"You're here because you followed the Hobo signs, So! Who's ready to scrounge around for some science?",
StartGeneric_1,"Break 1-9, Big Box Cave Johnson here, hauling a freight shaker with a load of cold ones in the wagon down to Texarkana. Got 28 hours to get this done so I'm puttin' the hammer down.",
StartGeneric_2,"Welcome to your first test, I'm your overseer: Cave Johnson.",
StartGeneric_3,Move in.,
StartGeneric_4,Complete your objectives.,
StartGeneric_5,You are good to go.,
StartGeneric_6,We're good to go.,
StartGeneric_7,Proceed with mission.,
StartGeneric_8,We have the greenlight.,
StartGeneric_9,You have the greenlight. ,
StartGeneric_10,You are clear for entry.,
StartGeneric_11,Go when ready.,
StartGeneric_12,You are clear to proceed.,
StartGeneric_13,Move in and be careful.,
StartGeneric_14,Move in.,
StartGeneric_15,Complete your objectives.,
StartGeneric_16,You are good to go.,
StartGeneric_17,We're good to go.,
StartGeneric_18,Proceed with mission.,
StartGeneric_19,We have the greenlight.,
StartGeneric_20,You have the greenlight. ,
StartGeneric_21,You are clear for entry.,
,,
Arrest_0,Shake the bushes and give me your 10-20.,
Arrest_1,"(Tap Tap) Hey, You, Chariots Chariots Keep testing.",
Arrest_2,Notifying trailers.,
Arrest_3,Trailers incoming.,
Arrest_4,Great work. Keep going.,
Arrest_5,Move on.,
Arrest_6,Great work entry team. Keep it up.,
Arrest_7,"Roger, trailers inbound.",
Arrest_8,Excellent work. Don't stop now.,
Arrest_9,Beauty. Keep 'em coming.,
Arrest_10,Continue with objectives.,
